State,District,Type_of_Crime,Crime,Count
Bihar,SAMASTIPUR,Property Crime,Theft,15032
Bihar,SAMASTIPUR,Property Crime,Other_Theft,10551
Bihar,SAMASTIPUR,Violent Crime,Hurt/Grevious_Hurt,8799
Bihar,SAMASTIPUR,Property Crime,Burglary,5089
Bihar,SAMASTIPUR,Property Crime,Auto_Theft,4481
Bihar,SAMASTIPUR,Trust/Deception Crime,Cheating,2472
Bihar,SAMASTIPUR,Negligence,Causing_Death_By_Negligence,1822
Bihar,SAMASTIPUR,Violent Crime,Riots,1249
Bihar,SAMASTIPUR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1179
Bihar,SAMASTIPUR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1111
Bihar,SAMASTIPUR,Trust/Deception Crime,Criminal_Breach_Of_Trust,644
Bihar,SAMASTIPUR,Violent Crime,Attempt_To_Murder,566
Bihar,SAMASTIPUR,Sexual Crime,Other_Rape,522
Bihar,SAMASTIPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,352
Bihar,SAMASTIPUR,Sexual Crime,Insult_To_Modesty_Of_Women,171
Bihar,SAMASTIPUR,Trust/Deception Crime,Counterfieting,159
Bihar,SAMASTIPUR,Family-Related Crime,Dowry_Deaths,126
Bihar,SAMASTIPUR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,119
Bihar,SAMASTIPUR,Property Crime,Preparation_And_Assembly_For_Dacoity,97
Bihar,SAMASTIPUR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,49
Bihar,SAMASTIPUR,Other,Importation_Of_Girls_From_Foreign_Countries,1
Bihar,SAMASTIPUR,Sexual Crime,Custodial_Rape,0
Bihar,SAMASTIPUR,Sexual Crime,Rape,0
Bihar,SAMASTIPUR,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Bihar,SAMASTIPUR,Violent Crime,Murder,0
Bihar,BUXAR,Property Crime,Theft,14429
Bihar,BUXAR,Property Crime,Other_Theft,10214
Bihar,BUXAR,Violent Crime,Hurt/Grevious_Hurt,8794
Bihar,BUXAR,Property Crime,Auto_Theft,4215
Bihar,BUXAR,Property Crime,Burglary,4115
Bihar,BUXAR,Trust/Deception Crime,Cheating,2369
Bihar,BUXAR,Negligence,Causing_Death_By_Negligence,1722
Bihar,BUXAR,Violent Crime,Riots,1124
Bihar,BUXAR,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1082
Bihar,BUXAR,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,958
Bihar,BUXAR,Trust/Deception Crime,Criminal_Breach_Of_Trust,549
Bihar,BUXAR,Violent Crime,Attempt_To_Murder,476
Bihar,BUXAR,Sexual Crime,Other_Rape,390
Bihar,BUXAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,314
Bihar,BUXAR,Sexual Crime,Insult_To_Modesty_Of_Women,178
Bihar,BUXAR,Family-Related Crime,Dowry_Deaths,141
Bihar,BUXAR,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,135
Bihar,BUXAR,Trust/Deception Crime,Counterfieting,120
Bihar,BUXAR,Property Crime,Preparation_And_Assembly_For_Dacoity,68
Bihar,BUXAR,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,19
Bihar,BUXAR,Sexual Crime,Custodial_Rape,0
Bihar,BUXAR,Other,Importation_Of_Girls_From_Foreign_Countries,0
Bihar,BUXAR,Sexual Crime,Rape,0
Bihar,BUXAR,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Bihar,BUXAR,Violent Crime,Murder,0
Bihar,PURNEA,Property Crime,Theft,12142
Bihar,PURNEA,Violent Crime,Hurt/Grevious_Hurt,9275
Bihar,PURNEA,Property Crime,Other_Theft,7761
Bihar,PURNEA,Property Crime,Burglary,4746
Bihar,PURNEA,Property Crime,Auto_Theft,4381
Bihar,PURNEA,Trust/Deception Crime,Cheating,2769
Bihar,PURNEA,Negligence,Causing_Death_By_Negligence,1793
Bihar,PURNEA,Violent Crime,Riots,1458
Bihar,PURNEA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1297
Bihar,PURNEA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1253
Bihar,PURNEA,Violent Crime,Attempt_To_Murder,877
Bihar,PURNEA,Sexual Crime,Other_Rape,535
Bihar,PURNEA,Trust/Deception Crime,Criminal_Breach_Of_Trust,394
Bihar,PURNEA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,314
Bihar,PURNEA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,219
Bihar,PURNEA,Sexual Crime,Insult_To_Modesty_Of_Women,177
Bihar,PURNEA,Family-Related Crime,Dowry_Deaths,161
Bihar,PURNEA,Trust/Deception Crime,Counterfieting,142
Bihar,PURNEA,Property Crime,Preparation_And_Assembly_For_Dacoity,104
Bihar,PURNEA,Violent Crime,Murder,87
Bihar,PURNEA,Kidnapping/Abduction,Kidnapping_And_Abduction,69
Bihar,PURNEA,Sexual Crime,Rape,50
Bihar,PURNEA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,36
Bihar,PURNEA,Sexual Crime,Custodial_Rape,0
Bihar,PURNEA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Bihar,BETTIAH,Property Crime,Theft,11389
Bihar,BETTIAH,Property Crime,Other_Theft,7477
Bihar,BETTIAH,Violent Crime,Hurt/Grevious_Hurt,6458
Bihar,BETTIAH,Property Crime,Auto_Theft,3912
Bihar,BETTIAH,Property Crime,Burglary,3200
Bihar,BETTIAH,Trust/Deception Crime,Cheating,2406
Bihar,BETTIAH,Violent Crime,Riots,1287
Bihar,BETTIAH,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,1090
Bihar,BETTIAH,Negligence,Causing_Death_By_Negligence,981
Bihar,BETTIAH,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,930
Bihar,BETTIAH,Violent Crime,Attempt_To_Murder,849
Bihar,BETTIAH,Trust/Deception Crime,Criminal_Breach_Of_Trust,384
Bihar,BETTIAH,Sexual Crime,Other_Rape,279
Bihar,BETTIAH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,264
Bihar,BETTIAH,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,212
Bihar,BETTIAH,Sexual Crime,Insult_To_Modesty_Of_Women,180
Bihar,BETTIAH,Family-Related Crime,Dowry_Deaths,132
Bihar,BETTIAH,Property Crime,Preparation_And_Assembly_For_Dacoity,104
Bihar,BETTIAH,Trust/Deception Crime,Counterfieting,101
Bihar,BETTIAH,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,9
Bihar,BETTIAH,Sexual Crime,Custodial_Rape,0
Bihar,BETTIAH,Other,Importation_Of_Girls_From_Foreign_Countries,0
Bihar,BETTIAH,Sexual Crime,Rape,0
Bihar,BETTIAH,Kidnapping/Abduction,Kidnapping_And_Abduction,0
Bihar,BETTIAH,Violent Crime,Murder,0
Bihar,GAYA,Property Crime,Theft,8333
Bihar,GAYA,Violent Crime,Hurt/Grevious_Hurt,6634
Bihar,GAYA,Property Crime,Other_Theft,6178
