State,District,Type_of_Crime,Crime,Count
Nagaland,KOHIMA,Property Crime,Theft,8274
Nagaland,KOHIMA,Property Crime,Other_Theft,5818
Nagaland,KOHIMA,Violent Crime,Hurt/Grevious_Hurt,4925
Nagaland,KOHIMA,Violent Crime,Riots,4183
Nagaland,KOHIMA,Trust/Deception Crime,Cheating,2488
Nagaland,KOHIMA,Property Crime,Auto_Theft,2456
Nagaland,KOHIMA,Negligence,Causing_Death_By_Negligence,2252
Nagaland,KOHIMA,Property Crime,Burglary,1914
Nagaland,KOHIMA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1461
Nagaland,KOHIMA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,722
Nagaland,KOHIMA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,665
Nagaland,KOHIMA,Trust/Deception Crime,Criminal_Breach_Of_Trust,655
Nagaland,KOHIMA,Violent Crime,Attempt_To_Murder,568
Nagaland,KOHIMA,Sexual Crime,Other_Rape,318
Nagaland,KOHIMA,Family-Related Crime,Dowry_Deaths,195
Nagaland,KOHIMA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,185
Nagaland,KOHIMA,Sexual Crime,Insult_To_Modesty_Of_Women,123
Nagaland,KOHIMA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,101
Nagaland,KOHIMA,Violent Crime,Murder,97
Nagaland,KOHIMA,Trust/Deception Crime,Counterfieting,80
Nagaland,KOHIMA,Property Crime,Preparation_And_Assembly_For_Dacoity,71
Nagaland,KOHIMA,Sexual Crime,Rape,21
Nagaland,KOHIMA,Kidnapping/Abduction,Kidnapping_And_Abduction,13
Nagaland,KOHIMA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Nagaland,KOHIMA,Sexual Crime,Custodial_Rape,0
Nagaland,WOKHA,Violent Crime,Hurt/Grevious_Hurt,5898
Nagaland,WOKHA,Property Crime,Theft,5265
Nagaland,WOKHA,Property Crime,Other_Theft,3411
Nagaland,WOKHA,Property Crime,Auto_Theft,1854
Nagaland,WOKHA,Property Crime,Burglary,1832
Nagaland,WOKHA,Negligence,Causing_Death_By_Negligence,1489
Nagaland,WOKHA,Violent Crime,Riots,1467
Nagaland,WOKHA,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1421
Nagaland,WOKHA,Trust/Deception Crime,Cheating,1214
Nagaland,WOKHA,Violent Crime,Attempt_To_Murder,963
Nagaland,WOKHA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Women_And_Girls,859
Nagaland,WOKHA,Sexual Crime,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,722
Nagaland,WOKHA,Sexual Crime,Other_Rape,445
Nagaland,WOKHA,Trust/Deception Crime,Criminal_Breach_Of_Trust,438
Nagaland,WOKHA,Kidnapping/Abduction,Kidnapping_And_Abduction_Of_Others,226
Nagaland,WOKHA,Family-Related Crime,Dowry_Deaths,223
Nagaland,WOKHA,Sexual Crime,Insult_To_Modesty_Of_Women,167
Nagaland,WOKHA,Violent Crime,Culpable_Homicide_Not_Amounting_To_Murder,68
Nagaland,WOKHA,Trust/Deception Crime,Counterfieting,43
Nagaland,WOKHA,Property Crime,Preparation_And_Assembly_For_Dacoity,35
Nagaland,WOKHA,Violent Crime,Murder,19
Nagaland,WOKHA,Kidnapping/Abduction,Kidnapping_And_Abduction,3
Nagaland,WOKHA,Sexual Crime,Custodial_Rape,1
Nagaland,WOKHA,Other,Importation_Of_Girls_From_Foreign_Countries,0
Nagaland,WOKHA,Sexual Crime,Rape,0
Nagaland,ZUNHEBOTO,Violent Crime,Hurt/Grevious_Hurt,6762
Nagaland,ZUNHEBOTO,Property Crime,Theft,4897
Nagaland,ZUNHEBOTO,Property Crime,Other_Theft,3420
Nagaland,ZUNHEBOTO,Property Crime,Burglary,1910
Nagaland,ZUNHEBOTO,Negligence,Causing_Death_By_Negligence,1802
Nagaland,ZUNHEBOTO,Trust/Deception Crime,Cheating,1584
Nagaland,ZUNHEBOTO,Family-Related Crime,Cruelty_By_Husband_Or_His_Relatives,1542
